What_would_you_call_the_part_of_the_country_you_live_in_now,How_much_do_you_personally_identify_as_a_Midwesterner,Do_you_consider_Illinois_state_as_part_of_the_Midwest,Do_you_consider_Indiana_state_as_part_of_the_Midwest,Do_you_consider_Iowa_state_as_part_of_the_Midwest,Do_you_consider_Kansas_state_as_part_of_the_Midwest,Do_you_consider_Michigan_state_as_part_of_the_Midwest,Do_you_consider_Minnesota_state_as_part_of_the_Midwest,Do_you_consider_Missouri_state_as_part_of_the_Midwest,Do_you_consider_Nebraska_state_as_part_of_the_Midwest,Do_you_consider_North_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Ohio_state_as_part_of_the_Midwest,Do_you_consider_South_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Wisconsin_state_as_part_of_the_Midwest,Do_you_consider_Arkansas_state_as_part_of_the_Midwest,Do_you_consider_Colorado_state_as_part_of_the_Midwest,Do_you_consider_Kentucky_state_as_part_of_the_Midwest,Do_you_consider_Oklahoma_state_as_part_of_the_Midwest,Do_you_consider_Pennsylvania_state_as_part_of_the_Midwest,Do_you_consider_West_Virginia_state_as_part_of_the_Midwest,Do_you_consider_Montana_state_as_part_of_the_Midwest,Do_you_consider_Wyoming_state_as_part_of_the_Midwest,Gender,Age,Household_Income,Education,In_what_ZIP_code_is_your_home_located,Census_Region
Pacific Northwest,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,
a great place to live in but for the high property taxs,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,8053,Middle Atlantic
Mid-west,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female,30-44,"$100,000 - $149,999",Graduate degree,60016,East North Central
Midwest,A lot,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,55387,West North Central
"northeast PA. rural, on the edge of the appalachians",Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,18657,Middle Atlantic
West,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Male,45-60,"$150,000+",Graduate degree,82718,Mountain
northern New York,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$100,000 - $149,999",Graduate degree,13601,Middle Atlantic
central,Not much,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Female,18-29,"$150,000+",Some college,53142,East North Central
Southwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Female,> 60,"$150,000+",Graduate degree,78209,West South Central
New England,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,2134,New England
Dirty south,Some,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,38301,East South Central
Very cold,Not much,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$150,000+",High school degree,48327,East North Central
Chicago,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,60626,East North Central
Mid West,Not much,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,62056,East North Central
north east,Not much,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,44122,East North Central
"girls, trucks and beer bitch",Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,18-29,"$150,000+",Some college,29621,South Atlantic
The midwest,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,60439,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,45202,East North Central
Upper midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,49504,East North Central
America,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,15701,Middle Atlantic
Chicagoland,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,60126,East North Central
Southwest,A lot,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Some college,87402,Mountain
The Midwest,Some,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,60654,East North Central
the South,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,29707,South Atlantic
West,Not at all,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Associate or bachelor degree,87111,Mountain
Northeast,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,18020,Middle Atlantic
north,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,
suburbia,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Female,> 60,"$150,000+",Some college,11706,Middle Atlantic
Midwest,A lot,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,61201,East North Central
Beautiful mountain town mixed with college town.,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Female,18-29,"$0 - $24,999",Some college,26505,South Atlantic
West coast,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Less than high school degree,93436,Pacific
Midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,44120,East North Central
West,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,84096,Mountain
The south,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Female,30-44,"$100,000 - $149,999",Some college,34240,South Atlantic
Upper Midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Female,30-44,"$50,000 - $99,999",Graduate degree,54701,East North Central
Backwards,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Female,30-44,"$100,000 - $149,999",Some college,29405,South Atlantic
middle midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Male,45-60,"$0 - $24,999",Associate or bachelor degree,66048,West North Central
Southeastern United States of America,Not much,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Male,30-44,"$100,000 - $149,999",Some college,31021,South Atlantic
East coast,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,
mid-west,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,60610,East North Central
California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$150,000+",Graduate degree,94114,Pacific
Texas,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Male,30-44,"$100,000 - $149,999",Some college,75703,West South Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,48114,East North Central
The Midwest,A lot,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Male,18-29,"$25,000 - $49,999",Some college,74834,West South Central
Midwestern area big city,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,
midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,
WESTCOAST,Not at all,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,
Pacific Northwest,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Male,30-44,,Associate or bachelor degree,98115,Pacific
The South,Not much,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,,Graduate degree,352542,East South Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,48017,East North Central
East coast,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,23464,South Atlantic
Midwest,A lot,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,53959,East North Central
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Male,45-60,,,12533,Middle Atlantic
Mid-north,Some,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,53589,East North Central
northeast,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,14519,Middle Atlantic
"Dallas, TX USA",Not at all,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Associate or bachelor degree,75238,West South Central
Rocky Mountains,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,80906,Mountain
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Graduate degree,48858,East North Central
Midwest USA,A lot,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Some college,68433,West North Central
We live out in the country. No surrounding homes on 5 aches,A lot,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,42134,East South Central
Florida,Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,18-29,"$150,000+",Some college,32740,
Midwest/Eastern.  Just East of the Mississippi should be  Mideastern.,A lot,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Male,45-60,"$50,000 - $99,999",High school degree,60148,East North Central
Eastern,A lot,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Associate or bachelor degree,48315,East North Central
The West,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Male,45-60,"$0 - $24,999",Graduate degree,94611,Pacific
south west,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Male,45-60,"$0 - $24,999",Some college,76541,West South Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,48098,East North Central
northeast,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Male,18-29,"$100,000 - $149,999",Associate or bachelor degree,60134,East North Central
North West,Not at all,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,,,,,
tri-state,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Female,> 60,"$0 - $24,999",High school degree,17202,Middle Atlantic
"The south or southeast.  Also, of  course, Appalachia.",Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,42103,East South Central
West,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Female,30-44,"$50,000 - $99,999",Graduate degree,79762,West South Central
Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,23518,South Atlantic
Good place to live. Has a nice clear difference in all four seasons.,Not at all,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Male,45-60,"$25,000 - $49,999",Some college,83709,Mountain
South Atlantic,Not at all,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Female,> 60,"$0 - $24,999",Some college,33417,South Atlantic
South,A lot,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$150,000+",Associate or bachelor degree,32708,South Atlantic
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Female,45-60,,Graduate degree,44012,East North Central
South Texas,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,77077,West South Central
Southeastern U.S.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,30039,South Atlantic
Central Eastern,Not at all,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Male,18-29,"$150,000+",Associate or bachelor degree,40503,East South Central
Northeast,Not much,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Associate or bachelor degree,10038,Middle Atlantic
West,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Male,45-60,"$100,000 - $149,999",Some college,95426,Pacific
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,
south east,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Female,> 60,"$0 - $24,999",Some college,33021,South Atlantic
North East Cost or The Big Apple,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",High school degree,10001,Middle Atlantic
"Small, rugged, and to find entertainment you have to leave travel a bit.",Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",High school degree,15642,Middle Atlantic
Midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Associate or bachelor degree,44024,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,44130,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,60193,East North Central
New England,Not much,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,,2556,
South florida,Not much,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,33064,South Atlantic
Midwest,Not much,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,
the midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,61016,East North Central
I guess Midwest.  Cant really think of any other name.,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,,,60131,East North Central
The south,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Male,18-29,"$0 - $24,999",Some college,28390,South Atlantic
midwest,Some,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Female,45-60,"$25,000 - $49,999",Some college,74801,West South Central
,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Male,30-44,"$0 - $24,999",High school degree,79928,West South Central
New England,Not much,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Male,45-60,"$150,000+",Graduate degree,2536,New England
the south,Not much,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,37214,East South Central
Midwest,Not much,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,63367,West North Central
midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,45-60,"$150,000+",Some college,60090,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,44087,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Some college,49426,East North Central
West,Some,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",High school degree,80831,Mountain
New England,Not at all,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Female,> 60,"$0 - $24,999",,4210,New England
SE. Country,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,30182,South Atlantic
New England,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Male,30-44,"$0 - $24,999",Associate or bachelor degree,6029,New England
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,,,,,
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44139,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,60020,East North Central
THE UNITED STATES,Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,62002,East North Central
East coast,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,7480,Middle Atlantic
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Graduate degree,48042,East North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,55013,West North Central
Kansas,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,67204,West North Central
Southeast,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Graduate degree,33411,South Atlantic
Mid Missouri,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",High school degree,65486,West North Central
Mid Atlantic,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female,45-60,"$25,000 - $49,999",Some college,17566,Middle Atlantic
midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Graduate degree,47401,East North Central
East,Not at all,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$0 - $24,999",Graduate degree,14850,Middle Atlantic
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",High school degree,49503,East North Central
Mountain states.,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,83713,Mountain
EAST,Not much,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Male,45-60,"$0 - $24,999",High school degree,18252,Middle Atlantic
midwest,Some,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",High school degree,52405,West North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,52403,West North Central
Northeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$25,000 - $49,999",Some college,16686,Middle Atlantic
DORMONT,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,,,15216,
Mid-West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,18-29,"$25,000 - $49,999",High school degree,47166,East North Central
sonoran desert,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,85004,Mountain
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,53216,East North Central
Northeast,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female,30-44,"$0 - $24,999",Some college,63084,West North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,,,,,,
coastal,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,
the midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",High school degree,60634,East North Central
The City,Not at all,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,4609,
