What_would_you_call_the_part_of_the_country_you_live_in_now,How_much_do_you_personally_identify_as_a_Midwesterner,Do_you_consider_Illinois_state_as_part_of_the_Midwest,Do_you_consider_Indiana_state_as_part_of_the_Midwest,Do_you_consider_Iowa_state_as_part_of_the_Midwest,Do_you_consider_Kansas_state_as_part_of_the_Midwest,Do_you_consider_Michigan_state_as_part_of_the_Midwest,Do_you_consider_Minnesota_state_as_part_of_the_Midwest,Do_you_consider_Missouri_state_as_part_of_the_Midwest,Do_you_consider_Nebraska_state_as_part_of_the_Midwest,Do_you_consider_North_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Ohio_state_as_part_of_the_Midwest,Do_you_consider_South_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Wisconsin_state_as_part_of_the_Midwest,Do_you_consider_Arkansas_state_as_part_of_the_Midwest,Do_you_consider_Colorado_state_as_part_of_the_Midwest,Do_you_consider_Kentucky_state_as_part_of_the_Midwest,Do_you_consider_Oklahoma_state_as_part_of_the_Midwest,Do_you_consider_Pennsylvania_state_as_part_of_the_Midwest,Do_you_consider_West_Virginia_state_as_part_of_the_Midwest,Do_you_consider_Montana_state_as_part_of_the_Midwest,Do_you_consider_Wyoming_state_as_part_of_the_Midwest,Gender,Age,Household_Income,Education,In_what_ZIP_code_is_your_home_located,Census_Region
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,45-60,"$100,000 - $149,999",Graduate degree,44107,East North Central
"Midwest, great lakes",A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",Some college,49111,East North Central
Suburbs,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,60103,East North Central
midwest,Some,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Female,30-44,"$50,000 - $99,999",Some college,44646,East North Central
Midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Graduate degree,48917,East North Central
West,Some,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid West.,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,54403,East North Central
the midwest,A lot,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Female,18-29,"$100,000 - $149,999",Graduate degree,53593,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",High school degree,49503,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",Associate or bachelor degree,53217,East North Central
rural Indiana,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,47371,East North Central
Flyover country,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,46350,East North Central
North America  Mid West,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Female,45-60,"$150,000+",Some college,49684,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Female,18-29,"$150,000+",Associate or bachelor degree,45458,East North Central
New England,Not much,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,2556,East North Central
mid atlantic,Not at all,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
island,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,96818,East North Central
Cold,A lot,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
"Rural, city like",Not much,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$0 - $24,999",Some college,60115,East North Central
coastal,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid Wst,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$100,000 - $149,999",Associate or bachelor degree,48198,East North Central
midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Graduate degree,60657,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,A lot,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,53704,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Ohio,Not at all,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,30-44,"$0 - $24,999",Some college,43207,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Male,18-29,"$150,000+",Associate or bachelor degree,48073,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,53561,East North Central
Midwester,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Male,> 60,"$100,000 - $149,999",Some college,48246,East North Central
Midwestern US,A lot,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Male,18-29,"$100,000 - $149,999",Associate or bachelor degree,60134,East North Central
western USA,Some,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,53105,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,48192,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",High school degree,60554,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$25,000 - $49,999",Graduate degree,60640,East North Central
rural,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,49504,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Some college,46552,East North Central
"urban/suburban, mid-western city",A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,45211,East North Central
The midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Associate or bachelor degree,54009,East North Central
something related to the North Pole,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
North East,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,48170,East North Central
Northeast,Not at all,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$25,000 - $49,999",High school degree,47274,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$0 - $24,999",High school degree,46013,East North Central
Cold weather,Some,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Male,45-60,"$25,000 - $49,999",Less than high school degree,43920,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,53207,East North Central
midwest,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",Graduate degree,60614,East North Central
Central illinois,Not much,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Female,45-60,"$25,000 - $49,999",Some college,62951,East North Central
The Mid-West,Not much,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Some college,48307,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,47401,East North Central
Michigan,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Male,18-29,"$100,000 - $149,999",Some college,48105,East North Central
heartbeat of america,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$100,000 - $149,999",Some college,48188,East North Central
The woods near the beach on the southeastern coach of Lake Michigan,A lot,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$0 - $24,999",Associate or bachelor degree,49117,East North Central
MidWest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Male,45-60,"$50,000 - $99,999",Some college,43162,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Male,18-29,"$0 - $24,999",Associate or bachelor degree,46545,East North Central
Virginia,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Male,18-29,"$25,000 - $49,999",Less than high school degree,75601,East North Central
Bay Area,Not at all,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid-West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,18-29,"$25,000 - $49,999",High school degree,47166,East North Central
northeast,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,48069,East North Central
THE UNITED STATES,Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,62002,East North Central
"The Mid-West. The Heartland, The best location in the Nation.",A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,44113,East North Central
"Midwest, Great Lakes region",A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,44118,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Graduate degree,69565,East North Central
North Central/east,Not much,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Female,> 60,"$150,000+",High school degree,48761,East North Central
"Very expensive, but worth it (New Jersey).",Not at all,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Graduate degree,8087,East North Central
Rural Pennsylvania,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
northeast,A lot,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$0 - $24,999",Graduate degree,44405,East North Central
North central,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Female,45-60,"$25,000 - $49,999",Some college,44125,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$0 - $24,999",Some college,49007,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Central,Not much,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
The Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Some college,46703,East North Central
Eastern,A lot,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Associate or bachelor degree,48315,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",High school degree,60107,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Some college,54956,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",High school degree,48088,East North Central
"northeast (that's because I just moved to philadelphia, but I moved here from Cleveland, OH which is definitely Midwest)",A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$25,000 - $49,999",Some college,44135,East North Central
Midwest urban,Some,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid-East,Some,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,43230,East North Central
Great Lakes area,A lot,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,53153,East North Central
Midwest,Some,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$0 - $24,999",High school degree,46819,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$0 - $24,999",Associate or bachelor degree,60618,East North Central
Mid-East,Some,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Male,18-29,"$150,000+",Some college,47040,East North Central
The midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
"Depressing, cold, cloudy, snowy",Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,48150,East North Central
Midwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female,> 60,"$100,000 - $149,999",Some college,45133,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Female,18-29,"$25,000 - $49,999",Graduate degree,62704,East North Central
Chicagoland,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,60126,East North Central
Very Cold,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",High school degree,49080,East North Central
Southern Indiana,Some,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",High school degree,47150,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,49085,East North Central
midewest,A lot,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Male,18-29,"$50,000 - $99,999",Associate or bachelor degree,45040,East North Central
Midwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Male,18-29,"$150,000+",Some college,60201,East North Central
northeast,Not at all,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Male,45-60,"$50,000 - $99,999",High school degree,44662,East North Central
Central,Not much,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Male,45-60,"$100,000 - $149,999",Some college,60018,East North Central
mid-atlantic,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",Graduate degree,60637,East North Central
mid-atlantic,Not at all,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,48093,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,48335,East North Central
frigid,Not much,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",Associate or bachelor degree,48326,East North Central
Eastern United States,Not much,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
the midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",High school degree,60634,East North Central
The Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,60056,East North Central
Midwest,Some,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Some college,45377,East North Central
Midwest,Some,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Some college,53221,East North Central
Midwest,A lot,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,61201,East North Central
Rural,Not at all,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Female,30-44,"$25,000 - $49,999",Graduate degree,44103,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,63123,East North Central
Mid Atlantic,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Associate or bachelor degree,48035,East North Central
midwest,Not much,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,48327,East North Central
MID WEST,Some,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Graduate degree,53202,East North Central
Mid west,A lot,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,48642,East North Central
nw,Not much,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",Some college,43315,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Female,45-60,"$100,000 - $149,999",High school degree,45385,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Some college,44312,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,45243,East North Central
Upper midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,54720,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$0 - $24,999",Some college,49008,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,44130,East North Central
